Temperature,Simulations,Return,Discounted Return,Map
1,49,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,49,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,49,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,49,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.8974819010978248,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9083329444789534,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.8894287717672626,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9332298921513504,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.8325391341551359,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9083329444789534,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,50,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9083329444789534,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9110661429076764,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9220814271464737,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.8894287717672626,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9001824484431542,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9165572373164391,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9056079456455165,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.8921050870283477,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.8553586117313603,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,52,1.0,0.884100203995605,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9165572373164391,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9193151828650342,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.7630697687590515,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9193151828650342,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9056079456455165,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,53,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9165572373164391,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9110661429076764,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9332298921513504,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,56,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9083329444789534,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.8426049842298329,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.8553586117313603,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9332298921513504,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9220814271464737,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,58,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9138075656044898,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.8657003616774767,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9388545698794984,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9193151828650342,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9332298921513504,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9220814271464737,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9138075656044898,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9388545698794984,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9388545698794984,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9165572373164391,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.8867604854519608,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9056079456455165,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9138075656044898,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9138075656044898,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.884100203995605,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,59,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9001824484431542,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9220814271464737,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.8631032605924442,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.8502341582884777,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9056079456455165,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9304302024748964,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.93603800616986,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,61,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9304302024748964,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9193151828650342,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9304302024748964,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9388545698794984,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,66,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9388545698794984,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9110661429076764,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.8761671489944468,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9138075656044898,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9248559951318693,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9276389118674717,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9473552137914398,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9616943356035061,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,73,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9733217421754432,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.985089730404757,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9645880999032158,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9791880578299021,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9530650263643888,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9332298921513504,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9416796087056153,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
1,74,1.0,0.9674905716180701,"['SFHH', 'HFFF', 'HHHF', 'FHHG']"
